ID,STRIDE category,Threat,DFD elements,Description
T-04,Spoofing,Impersonation of a student through credential stuffing,"E2, P1, D1","The login endpoint accepts unlimited attempts. Reused credentials from unrelated breaches can be replayed until one matches, letting an attacker act as that student."
T-01,Tampering,Authentication bypass through SQL injection in the login form,"P1, D1, D3","The prototype builds the login statement by interpolating the submitted e-mail and password into SQL text. Submitted characters are therefore parsed as part of the command, so the structure of the WHERE clause can be altered and the credential test removed entirely. The same pattern in the course search allows arbitrary read and write against every table."
T-08,Tampering,Forged course registration via cross-site request forgery,"E2, P2, P3, D3","Registration and profile updates change state on a cookie-authenticated POST. A page under the attacker's control can cause a signed-in student's browser to submit that request, altering the student's registration without their knowledge."
T-09,Repudiation,Denial of a registration or enrolment change,"P3, P6, D6","Without a reliable record, a student can deny dropping a course and an administrator can deny altering an enrolment, leaving disputes unresolvable at the end of a semester."
T-02,Information Disclosure,Mass credential disclosure from plaintext password storage,D1,"Passwords are stored in a comparable form so they can be tested inside SQL. Any read of the users table - by injection, backup exposure or an insider - yields every student's password in clear text, and password reuse extends the loss to accounts on other systems."
T-06,Information Disclosure,Internal network probing through the URL-preview feature,"P5, E4","The document import fetches any URL the user supplies. Without a destination policy the server can be directed at loopback services, private ranges or a cloud instance-metadata endpoint, returning internal data to an external user."
T-07,Information Disclosure,Schema and account enumeration through verbose responses,P1,"Driver exception text is returned to the browser and the login form distinguishes an unknown account from a wrong password, so an attacker can map the schema and build a list of valid identifiers before attempting any credential attack."
T-10,Denial of Service,Resource exhaustion through unbounded document upload,"P4, D4","The upload endpoint accepts any size and any type, so repeated large submissions can fill the disk and exhaust memory, and a file with a misleading extension may be stored under a type the rest of the system trusts."
T-11,Denial of Service,Deliberate lockout of legitimate student accounts,"P1, D1",The lockout control introduced for T-04 can itself be abused: an attacker who knows a student's e-mail can submit failed attempts on purpose to keep that student out during a registration window.
T-03,Elevation of Privilege,Administrator session takeover via stored cross-site scripting,"P2, P6, D2","The profile biography is rendered without encoding. A student can store markup that executes when an administrator opens the record, running with the administrator's session and granting the student the ability to alter courses and enrolments."
T-05,Elevation of Privilege,Forced browsing to administrative functions,"P6, D1, D3","Administrative routes are reachable by URL and the role is trusted from client-supplied data, so any authenticated student can create or alter courses and read the enrolment of every other student."
