Rank,ID,Category,Threat,Likelihood,Impact,Risk score,Priority band,Control type,Control,Residual L,Residual I,Residual score,Residual band,Status,Verified by
1,T-01,Tampering,Authentication bypass through SQL injection in the login form,5,5,25,Critical,Preventive,"Replace every statement with a parameterised query so values bind as data after parsing; retrieve the account by identifier only; validate e-mail type, length and format before the data layer; route all access through a single db.query() helper.",1,5,5,Low,Mitigated,tests/test_sqli.py (11 tests)
2,T-02,Information Disclosure,Mass credential disclosure from plaintext password storage,4,5,20,Critical,Preventive,"Store Argon2id hashes (m=19456, t=2, p=1) with a unique per-password salt; verify with the library's constant-time function; re-hash transparently when parameters change; never place a password in a SQL statement.",1,4,4,Low,Mitigated,"tests/test_auth.py, evidence/captures/E6_password_storage.txt"
3,T-03,Elevation of Privilege,Administrator session takeover via stored cross-site scripting,4,4,16,High,Preventive,Render every user value through the auto-escaping template engine with no escape bypass; add a nonce-based Content-Security-Policy with no 'unsafe-inline'; set HttpOnly on the session cookie so a script cannot read it even if one executes.,1,4,4,Low,Mitigated,"tests/test_defences.py, evidence/captures/E5_xss_encoding.txt"
4,T-04,Spoofing,Impersonation of a student through credential stuffing,5,3,15,High,Detective and Corrective,Temporary account lockout after 5 failures for 15 minutes; per-source-IP limiting of 20 failures in a 15-minute window; deliberately slow Argon2id verification; all attempts recorded to login_attempts and the audit log.,2,3,6,Low,Accepted (residual),"tests/test_auth.py, evidence/captures/E8_lockout_and_ratelimit.txt"
5,T-05,Elevation of Privilege,Forced browsing to administrative functions,3,5,15,High,Preventive and Detective,Decorate every privileged route with a server-side role check that reads the role from the session record only; deny by default; log each denial as an authz.denied event; require a second factor for the administrator role.,1,5,5,Low,Mitigated,"tests/test_auth.py, evidence/captures/E12_access_control.txt"
6,T-06,Information Disclosure,Internal network probing through the URL-preview feature,3,4,12,High,Preventive,"Scheme and port allowlists; explicit host allowlist checked before resolution; rejection of any name resolving to a loopback, private, link-local, reserved or metadata address; connection pinned to the vetted address to close DNS rebinding; redirects disabled; refusal reason withheld from the client.",1,4,4,Low,Mitigated,"tests/test_defences.py, evidence/captures/E4_ssrf_policy.txt"
7,T-07,Information Disclosure,Schema and account enumeration through verbose responses,4,3,12,High,Preventive,One generic failure message for every authentication outcome; a dummy hash verification when the account is absent so response time does not differ; custom error handlers that return a reference code while the detail goes only to the server log.,1,3,3,Low,Mitigated,"tests/test_auth.py, tests/test_defences.py"
8,T-08,Tampering,Forged course registration via cross-site request forgery,3,3,9,Moderate,Preventive,Per-session synchroniser token validated centrally on every unsafe method and compared in constant time; SameSite=Lax on the session cookie as an independent second layer; token rotated when the session is regenerated.,1,3,3,Low,Mitigated,"tests/test_defences.py, evidence/captures/E3_csrf_enforcement.txt"
9,T-09,Repudiation,Denial of a registration or enrolment change,3,3,9,Moderate,Detective,"Structured audit events recording actor, action, object, outcome, source address and timestamp for every state change and every denial, written to an append-only table and a JSON log; the application holds no UPDATE or DELETE against that table.",2,3,6,Low,Accepted (residual),"tests/test_defences.py, evidence/logs/security.log"
10,T-10,Denial of Service,Resource exhaustion through unbounded document upload,3,3,9,Moderate,Preventive,2 MiB request ceiling enforced by the framework; extension and declared-type allowlists; magic-byte check that the content matches the claimed type; server-generated random storage name outside any served directory; 0600 permissions.,2,2,4,Low,Mitigated,"tests/test_defences.py, evidence/captures/E13_upload_validation.txt"
11,T-11,Denial of Service,Deliberate lockout of legitimate student accounts,3,2,6,Low,Corrective,Lockout is time-bounded at 15 minutes rather than permanent and clears on the next successful sign-in; rate limiting is scoped to the source address so one host cannot lock many accounts; lockout events are logged so a targeted pattern is visible.,3,2,6,Low,Accepted (residual),tests/test_auth.py::test_lockout_is_temporary_not_permanent
